UUID,Version,Fecha,FechaDDMMYYYY,TipoDeComprobante,FormaPago,MetodoPago,SubTotal,Descuento,Moneda,LugarExpedicion,Total,TotalTraslados,TotalRetenciones,RfcEmisor,RfcReceptor
A1B2C3D4-E5F6-7890-ABCD-EF1234567890,4.0,2025-01-05,05/01/2025,I,03,PUE,10000.00,0.00,MXN,06600,11600.00,1600.00,0.00,AAA010101AAA,XXX111111XXX
B2C3D4E5-F6A7-8901-BCDE-F12345678901,4.0,2025-01-08,08/01/2025,I,03,PUE,20000.00,0.00,MXN,06600,23200.00,3200.00,0.00,AAA010101AAA,YYY222222YYY
C3D4E5F6-A7B8-9012-CDEF-123456789012,4.0,2025-01-10,10/01/2025,I,01,PUE,5000.00,0.00,MXN,01000,5800.00,800.00,0.00,BBB020202BBB,AAA010101AAA
D4E5F6A7-B8C9-0123-DEF0-234567890123,4.0,2025-01-12,12/01/2025,I,99,PPD,40000.00,0.00,MXN,06600,46400.00,6400.00,0.00,AAA010101AAA,ZZZ333333ZZZ
E5F6A7B8-C9D0-1234-EF01-345678901234,4.0,2025-01-15,15/01/2025,I,03,PUE,15000.00,0.00,MXN,03100,17400.00,2400.00,0.00,CCC030303CCC,AAA010101AAA
F6A7B8C9-D0E1-2345-F012-456789012345,4.0,2025-01-18,18/01/2025,I,99,PPD,30000.00,0.00,MXN,06600,34800.00,4800.00,0.00,AAA010101AAA,XXX111111XXX
A7B8C9D0-E1F2-3456-0123-567890123456,4.0,2025-01-20,20/01/2025,E,03,PUE,6000.00,0.00,MXN,06600,6960.00,960.00,0.00,AAA010101AAA,YYY222222YYY
B8C9D0E1-F2A3-4567-1234-678901234567,4.0,2025-01-22,22/01/2025,P,03,PPD,20000.00,0.00,MXN,06600,20000.00,0.00,0.00,XXX111111XXX,AAA010101AAA
C9D0E1F2-A3B4-5678-2345-789012345678,4.0,2025-01-25,25/01/2025,I,03,PUE,50000.00,0.00,MXN,06600,58000.00,8000.00,0.00,AAA010101AAA,ZZZ333333ZZZ
D0E1F2A3-B4C5-6789-3456-890123456789,4.0,2025-01-28,28/01/2025,I,03,PUE,7500.00,0.00,MXN,64000,8700.00,1200.00,0.00,DDD040404DDD,AAA010101AAA
